"Name	Microchip_identifier	Sex	Age (in years)	Tumour number	Tumour location	Tumour diagnostic	Site Name	Sample origin	"
"Mrs. Wombat	9.82E+14	Female	2	T2	Head	DFTD	Pelverata	Live trapping	"
"Sandfly; 12/4853	R00000000002968	Male	3+	T1	Head	DFTD	Sandfly	Roadkill	"
"Snug Tiers	9.82009E+14	Female	3+	T1	Head	DFTD	Snug	Euthanised	"
"Margaret	9.82E+14	Female	3+	T3	Head	DFTD	Snug	Live trapping	"
"Margaret	9.82E+14	Female	3+	T2	Head	DFTD	Snug	Live trapping	"
"Teufel	9.82E+14	Male	1	T2	Head	DFTD	Snug	Live trapping	"
"Snug Tiers	9.82E+14	Male	1	T1	Head	DFTD	Snug Tiers	Euthanised	"
"Kaoota	9.82E+15	Female	3+	T3	Head	DFTD	Snug Tiers	Live trapping	"
"Kaoota	9.82E+15	Female	3+	T2	Head	DFTD	Snug Tiers	Live trapping	"
"Kaoota	9.82E+15	Female	3+	T1	Head	DFTD	Snug Tiers	Live trapping	"
"Simone	9.82E+14	Female	3+	T1	Head	DFTD	Snug Tiers	Live trapping	"
"Homer	9.82E+14	Male	3+	T1	Head	DFTD	Southwood Road	Live trapping	"
"Milhouse	9.82E+14	Male	3+	T1	Head	DFTD	Southwood Road	Live trapping	"
"Selma	9.82E+14	Female	3+	T1	Head	DFTD	Southwood Road	Live trapping	"
"Wiggum	9.82E+14	Male	3+	T1	Head	DFTD	Southwood Road	Live trapping	"
"Azerbaijan	9.82E+14	Female	3+	T2	Head	DFTD	Woodbridge	Live trapping	"
"Azerbaijan	9.82E+14	Female	3+	T1	Head	DFTD	Woodbridge	Live trapping	"
"Cyprus	9.82E+14	Female	2	T1	Head	DFTD	Woodbridge	Live trapping	"
"Kettering	9.82E+14	Male	1	T1	Head	DFTD	Woodbridge	Live trapping	"
"Saudi Arabia	9.82E+14	Male	3+	T1	Head	DFTD	Woodbridge	Live trapping	"
"Saudi Arabia	9.82E+14	Male	3+	T2	Head	DFTD	Woodbridge	Live trapping	"
"Uzbekistan	9.82E+14	Male	2	T2	Head	DFTD	Woodbridge	Live trapping	"
"Uzbekistan	9.82E+14	Male	2	T1	Head	DFTD	Woodbridge	Live trapping	"
